Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-07-24,76.0152,76.7752,73.7347,74.875,1302.8978826174
2023-07-25,73.9247,76.0152,72.0244,74.1148,6680.7720184613
2023-07-26,74.1148,74.1148,71.2642,71.6443,6371.3600818786
2023-07-27,72.5946,74.1148,72.2144,73.7347,5827.2581389761
2023-07-28,74.1148,74.1148,72.9746,74.1148,717.75149914787
2023-07-31,73.9247,75.065,72.7845,73.3547,7157.5189819715
2023-08-01,74.1148,74.1148,72.2144,73.1647,2316.379838159
2023-08-02,72.4045,72.4045,71.0741,71.0741,3760.3022088788
2023-08-03,72.2144,72.2144,70.5041,70.5041,3502.458928393
2023-08-04,70.5041,70.5041,69.3638,70.3141,1810.1650711647
2023-08-07,70.3141,71.2642,69.5539,70.6942,1098.7281013349
2023-08-08,70.6942,71.2642,69.3638,69.744,2567.9085893267
2023-08-09,71.0741,71.2642,68.7937,71.2642,3069.913670109
2023-08-10,71.2642,71.8343,70.124,71.8343,2613.1627161057
2023-08-11,71.8343,72.7845,70.5041,70.5041,991.38110292857
2023-08-14,70.3141,72.7845,70.3141,71.8343,1301.8454610644
2023-08-16,73.1647,73.1647,71.2642,73.1647,2199.5610457757
2023-08-17,73.1647,73.1647,71.2642,72.2144,769.320155245
2023-08-18,71.2642,72.7845,71.2642,72.7845,3030.9740726479
2023-08-21,72.9746,74.1148,71.4543,74.1148,6272.4324558963
2023-08-22,74.1148,74.3049,72.2144,73.1647,2056.4317145674
2023-08-23,74.4949,74.4949,72.4045,72.5946,753.53383194996
2023-08-24,73.1647,73.1647,71.2642,71.2642,6006.1698029866
2023-08-25,71.8343,71.8343,69.3638,71.0741,2778.3928999272
2023-08-28,70.8842,70.8842,67.6535,67.8436,6179.819359232
2023-08-29,68.8073,73.2402,67.4581,71.6983,6266.5601202272
2023-08-30,71.8911,71.8911,69.5782,69.7708,3543.6831943328
2023-08-31,69.7708,70.5419,67.4581,67.4581,2711.4624265862
2023-09-01,66.6871,70.9273,63.7961,69.1927,8633.5122040554
2023-09-04,70.9273,70.9273,67.4581,70.5419,2602.5058422802
2023-09-05,71.1201,82.4915,70.5419,77.4804,39688.214094772
2023-09-06,77.4804,82.106,75.3603,78.4441,8816.1441929874
2023-09-07,78.6369,79.986,76.1312,78.0587,11852.401008981
