Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-07-24,34.5042,34.5209,33.2219,33.3218,359735.97186901
2023-07-25,33.3885,34.2543,33.3551,34.1212,242728.43223697
2023-07-26,34.1212,34.1878,33.2052,33.4551,357183.81817262
2023-07-27,31.5567,32.2727,31.0738,31.8398,1605594.1192902
2023-07-28,32.0063,33.0388,31.8897,32.7723,476539.33920535
2023-07-31,32.8889,33.0221,32.023,32.5892,326766.95016554
2023-08-01,32.6557,32.8057,32.2228,32.6058,205143.9156369
2023-08-02,32.5558,32.8389,32.3394,32.639,210392.3446502
2023-08-03,32.7224,32.8722,32.4726,32.7723,196377.71806983
2023-08-04,32.739,33.172,32.5725,32.8057,193515.70288935
2023-08-07,32.9888,32.9888,31.9064,31.9397,206627.16731458
2023-08-08,31.9397,32.3561,31.5734,31.9064,296109.87945763
2023-08-09,32.023,32.0895,31.2237,31.307,229124.55227503
2023-08-10,31.4568,31.6399,31.2403,31.2902,174155.36520183
2023-08-11,31.3735,31.7232,31.1736,31.6399,118900.33691464
2023-08-14,31.6399,31.8064,31.3235,31.59,135332.60367895
2023-08-16,31.4734,31.6399,30.6074,30.8906,316627.99416318
2023-08-17,31.1904,31.7899,31.0072,31.2902,229357.54889484
2023-08-18,31.307,31.4568,30.391,31.3235,406916.58636755
2023-08-21,31.057,31.1238,27.4768,28.5925,1516460.9020768
2023-08-22,29.1587,29.9914,28.6091,28.759,864455.89193663
2023-08-23,27.61,28.6425,27.1937,28.5593,1027013.0697285
2023-08-24,28.476,28.7757,27.5267,27.5933,312638.22730227
2023-08-25,27.4934,28.5259,27.1604,28.1929,288854.55687883
2023-08-28,28.476,28.7424,27.4269,28.0097,286514.98257267
2023-08-29,28.0596,28.1429,27.2104,27.327,387072.24023784
2023-08-30,27.327,27.7266,27.227,27.4601,361446.21509898
2023-08-31,27.4435,27.7432,27.1437,27.5767,318864.28130798
2023-09-01,27.5767,27.7432,27.2603,27.4435,346069.63920486
2023-09-04,27.4934,27.8931,27.1104,27.2104,213648.29226006
2023-09-05,27.0938,27.4934,27.0938,27.1937,148337.17790229
2023-09-06,27.3103,27.4269,25.9947,26.6608,503815.55689896
2023-09-07,26.8607,27.0105,25.6782,25.8116,575941.22187949
2023-09-08,25.6782,26.9773,25.6617,26.8607,333752.04470589
2023-09-11,27.0438,27.0438,26.1445,26.1445,186068.21814988
2023-09-12,26.4111,26.9773,26.1946,26.9272,307599.9756522
2023-09-13,26.9773,26.9773,26.4776,26.7774,165490.05276911
2023-09-14,26.9439,27.1271,26.1779,26.461,339271.90277115
2023-09-15,26.4943,26.6941,26.3278,26.3777,406777.26880106
2023-09-18,26.6442,26.7274,26.2444,26.3278,230199.45936127
2023-09-19,26.3444,27.2769,26.3444,26.8106,270369.75803586
2023-09-20,26.7774,27.4435,26.4776,27.3436,317152.83706451
2023-09-21,27.3103,27.3103,26.5775,26.7608,334206.02781048
2023-09-22,26.844,26.9773,26.4776,26.5942,148782.75391236
2023-09-25,26.6442,26.7608,25.8781,25.8948,289906.64470849
2023-09-26,25.8449,26.0114,25.2454,25.8116,337825.88251211
2023-09-27,25.8948,26.028,24.9789,25.0622,329118.53460674
2023-09-28,25.1455,25.5617,24.9956,25.1954,242519.45588725
2023-09-29,25.362,25.6782,25.2454,25.5617,200162.11162153
2023-10-02,25.5617,25.8615,25.0122,25.2787,162153.63725448
2023-10-03,25.2787,25.8449,25.1455,25.1455,412177.02551589
2023-10-04,25.1455,26.2611,24.0796,25.7782,575202.59857441
2023-10-05,26.1946,26.2112,24.8623,24.8623,411164.57113186
2023-10-06,24.9289,25.4618,24.5793,25.0289,269161.53845065
2023-10-09,25.1288,25.3952,24.6458,24.6624,342458.19159776
2023-10-10,24.8623,25.9114,24.8623,25.7116,362742.10867
2023-10-11,25.745,26.4111,25.4118,26.2279,697751.61451478
2023-10-12,26.3944,27.0438,26.2112,26.4276,269501.42527233
2023-10-13,26.5775,26.8939,26.3112,26.7441,307575.95538211
2023-10-16,27.1271,27.4269,26.4776,26.8106,284144.1819154
2023-10-17,26.9106,28.0263,26.9106,27.4269,354857.45501499
2023-10-18,27.4768,27.943,26.9773,27.2104,264272.21247511
2023-10-19,27.2935,27.327,26.6442,26.9272,231186.69246172
2023-10-20,26.8939,27.3103,26.511,26.5942,381076.78082494
2023-10-23,26.461,26.7774,26.361,26.6442,114481.80823273
2023-10-24,26.6608,27.6766,26.6608,27.3436,209528.81594069
2023-10-25,27.4601,27.6933,27.1437,27.3768,180972.3178516
2023-10-26,27.227,27.4934,26.8273,27.327,154862.28427055
2023-10-27,26.8106,27.3103,26.3278,26.7608,682897.47949497
2023-10-30,26.8773,28.043,26.8607,27.7599,318141.27117846
2023-10-31,27.8597,27.8597,27.1937,27.2437,394859.611799
2023-11-02,27.4934,28.5925,27.4768,28.3261,397606.32968307
2023-11-03,28.5092,28.6759,28.2928,28.5759,234338.15189672
2023-11-06,28.6759,29.6916,28.6425,29.0754,298657.22910001
2023-11-07,29.0921,29.7582,28.8423,29.6749,245507.57748567
2023-11-08,29.7249,30.2245,28.8755,28.8755,273091.25463636
2023-11-09,28.9921,29.4417,28.0929,29.192,1000955.8807417
2023-11-10,29.242,29.4751,28.476,29.1254,289196.84572752
2023-11-13,29.0754,29.1421,28.3428,28.3428,129550.92466978
2023-11-14,28.3594,29.3752,28.3261,29.242,161124.36868139
2023-11-15,29.3919,29.5917,28.6425,28.6924,245550.81397181
2023-11-16,28.8423,28.9423,27.9265,28.3261,275299.91847056
2023-11-17,28.5593,28.9755,28.3594,28.6091,151368.53598687
2023-11-20,28.5925,29.3919,28.5593,29.192,211512.89024961
2023-11-21,29.2753,29.4417,29.0255,29.0754,172748.97838843
2023-11-22,29.1421,29.3586,28.9256,29.1421,161048.70483063
2023-11-23,29.2753,29.2753,28.0263,28.5259,263718.54524966
2023-11-24,28.5259,28.8423,28.3761,28.6591,129452.44156244
2023-11-27,28.6091,28.8257,28.2595,28.3927,108228.13091643
2023-11-28,28.4259,28.5259,28.2595,28.3927,114710.00079853
2023-11-29,28.476,28.5425,27.9098,28.2262,211932.04396257
2023-11-30,28.3093,28.476,27.4768,27.7432,378446.56125076
2023-12-01,27.9265,28.7924,27.6766,28.4259,274706.61779949
2023-12-04,28.4259,29.0754,28.2262,28.9755,327807.02786017
2023-12-05,28.9755,29.2753,28.7424,28.9755,246517.62984268
2023-12-06,29.0921,29.2087,28.3093,28.5593,255348.68213899
